Sample:float;Data:float
"0.0";"92.1700210571289"
"1.0";"108.82586669921875"
"2.0";"125.52458953857422"
"3.0";"142.19081115722656"
"4.0";"158.98751831054688"
"5.0";"175.7806854248047"
"6.0";"192.1951446533203"
"7.0";"208.97938537597656"
"8.0";"225.56846618652344"
"9.0";"242.3026123046875"
"10.0";"259.1761779785156"
"11.0";"275.8027648925781"
"12.0";"292.3292236328125"
"13.0";"309.0828552246094"
"14.0";"325.846923828125"
"15.0";"342.48114013671875"
"16.0";"359.350341796875"
"17.0";"15.989706039428711"
"18.0";"32.70055389404297"
"19.0";"49.45438766479492"
"20.0";"66.37708282470703"
"21.0";"82.72889709472656"
"22.0";"99.5079345703125"
"23.0";"116.01026916503906"
"24.0";"132.6890106201172"
"25.0";"149.48422241210938"
"26.0";"165.99481201171875"
"27.0";"182.49624633789062"
"28.0";"199.1207733154297"
"29.0";"215.7548828125"
"30.0";"232.37632751464844"
"31.0";"249.26986694335938"
"32.0";"266.08416748046875"
"33.0";"282.6427001953125"
"34.0";"299.0680236816406"
"35.0";"315.7472229003906"
"36.0";"332.60076904296875"
"37.0";"349.45538330078125"
"38.0";"6.092588424682617"
"39.0";"22.603012084960938"
"40.0";"39.326637268066406"
"41.0";"56.152408599853516"
"42.0";"72.98910522460938"
"43.0";"89.74913787841797"
"44.0";"106.42467498779297"
"45.0";"123.04317474365234"
"46.0";"139.41033935546875"
"47.0";"155.88607788085938"
"48.0";"172.32032775878906"
"49.0";"189.0698699951172"
"50.0";"205.87757873535156"
"51.0";"222.62464904785156"
"52.0";"239.42877197265625"
"53.0";"256.2950439453125"
"54.0";"272.96380615234375"
"55.0";"289.5425720214844"
"56.0";"306.227294921875"
"57.0";"322.4471740722656"
"58.0";"339.40240478515625"
"59.0";"356.0113525390625"
"60.0";"12.588302612304688"
"61.0";"28.922344207763672"
"62.0";"45.65750503540039"
"63.0";"62.227535247802734"
"64.0";"78.95753479003906"
"65.0";"95.56642150878906"
"66.0";"112.1767807006836"
"67.0";"128.8263397216797"
"68.0";"145.52581787109375"
"69.0";"162.0056915283203"
"70.0";"178.5365753173828"
"71.0";"195.13861083984375"
"72.0";"211.7172393798828"
"73.0";"228.45193481445312"
"74.0";"245.11923217773438"
"75.0";"261.6640625"
"76.0";"278.45452880859375"
"77.0";"295.0801086425781"
"78.0";"311.5390319824219"
"79.0";"328.316162109375"
"80.0";"345.06744384765625"
"81.0";"1.6738109588623047"
"82.0";"18.40814208984375"
"83.0";"34.84965896606445"
"84.0";"51.765357971191406"
"85.0";"68.49235534667969"
"86.0";"85.06232452392578"
"87.0";"101.79117584228516"
"88.0";"118.7007827758789"
"89.0";"135.43667602539062"
"90.0";"152.1539764404297"
"91.0";"168.87551879882812"
"92.0";"185.6492919921875"
"93.0";"202.09707641601562"
"94.0";"218.60690307617188"
"95.0";"235.1998748779297"
"96.0";"251.79180908203125"
"97.0";"268.362548828125"
"98.0";"284.97674560546875"
"99.0";"301.6821594238281"
"100.0";"318.58331298828125"
"101.0";"335.0553894042969"
"102.0";"351.64501953125"
"103.0";"8.39726448059082"
"104.0";"25.031835556030273"
"105.0";"41.479522705078125"
"106.0";"58.19066619873047"
"107.0";"74.74069213867188"
"108.0";"91.27908325195312"
"109.0";"107.99075317382812"
"110.0";"124.40825653076172"
"111.0";"141.0764617919922"
"112.0";"157.77056884765625"
"113.0";"174.54197692871094"
"114.0";"191.1984100341797"
"115.0";"207.79615783691406"
"116.0";"224.126708984375"
"117.0";"240.7117919921875"
"118.0";"257.232177734375"
"119.0";"273.7486877441406"
"120.0";"290.6800842285156"
"121.0";"307.38751220703125"
"122.0";"324.18280029296875"
"123.0";"340.8890075683594"
"124.0";"357.5343322753906"
"125.0";"14.320838928222656"
"126.0";"31.055727005004883"
"127.0";"47.603580474853516"
